"      0090",362.96
"      0134",529.55
"      0196",510.86
"      0203",340.5
"      1294",362.96
"      1453",362.96
"      1621",747.6
"      1680",635.46
"      1687",548.24
"      1705",872.2
"      1737",342.3
"      1783",635.46
"      1824",345.39
"      1917",747.6
"      1965",635.46
"      1986",635.46
"      2045",747.6
"      2119",402.96
"      2229",635.46
"      2260",362.96
"      2272",548.24
"      2293",872.2
"      2363",635.46
"      2404",635.46
"      2451",635.46
"      2549",342.3
"      2557",747.6
"      2564",635.46
"      2585",548.24
"      2615",747.6
"      2662",548.24
"      2670",635.46
"      2682",548.24
"      2688",747.6
"      2696",635.46
"      2703",747.6
"      2716",635.46
"      2737",635.46
"      2763",747.6
"      2764",747.6
"      2771",548.24
"      2802",548.24
"      2805",635.46
"      2902",548.24
"      2917",635.46
"      2996",548.24
"      3002",548.24
"      3009",548.24
"      3010",635.46
"      3066",610.54
"      3128",342.3
"      3186",610.54
"      3246",610.54
"      3303",610.54
"      3323",610.54
"      3330",566.93
"      3348",610.54
"      3376",345.39
"      3382",345.39
"      3386",342.3
"      3420",345.39
"      3424",529.55
"      3447",345.39
"      3463",345.39
"      3509",529.55
"      3519",747.6
"      3526",529.55
"      3528",345.39
"      3558",654.15
"      3590",345.39
"      3643",385.33
"      3654",529.55
"      3665",747.6
"      3674",610.54
"      3692",345.39
"      3709",510.86
"      3723",510.86
"      3735",510.86
"      3739",510.86
"      3742",747.6
"      3747",585.62
"      3757",585.62
"      3772",585.62
"      3782",510.86
"      3790",340.5
"      3792",585.62
"      3806",585.62
"      3807",510.86
"      3824",872.2
"      3833",345.39
"      3839",345.39
"      3840",345.39
"      3842",473.48
"      3845",340.28
"      3846",548.24
"      3849",510.86
"      3953",585.62
"      3956",585.62
"      3959",340.28
"      3993",340.28
"      4001",585.62
"      4014",510.86
"      4044",716.45
"      4063",510.86
"      4073",510.86
"      4092",585.62
"      4094",340.5
"      4102",510.86
"      4104",1121.4
"      4117",340.28
"      4126",585.62
"      4164",340.28
"      4172",610.54
"      4196",585.62
"      4207",585.62
"      4218",510.86
"      4247",585.62
"      4266",510.86
"      4268",510.86
"      4276",585.62
"      4291",510.86
"      4305",510.86
"      4309",716.45
"      4314",716.45
"      4340",716.45
"      4399",340.28
"      4417",510.86
